dataset,filename,label
KDD21,221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.out,LOF
KDD21,224_UCR_Anomaly_mit14046longtermecg_76123_191200_191700.out,LOF
KDD21,227_UCR_Anomaly_mit14134longtermecg_11231_29000_29100.out,MP
KDD21,230_UCR_Anomaly_mit14134longtermecg_19363_19510_19610.out,POLY
KDD21,231_UCR_Anomaly_mit14134longtermecg_8763_47530_47790.out,LOF
KDD21,236_UCR_Anomaly_mit14157longtermecg_19313_46350_46390.out,LOF
KDD21,238_UCR_Anomaly_mit14157longtermecg_21311_72600_72780.out,NORMA
KDD21,239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.out,IFOREST1
KDD21,242_UCR_Anomaly_tilt12744mtable_100000_104630_104890.out,NORMA
KDD21,243_UCR_Anomaly_tilt12744mtable_100000_203355_203400.out,LOF
KDD21,245_UCR_Anomaly_tilt12754table_100211_270800_271070.out,MP
KDD21,249_UCR_Anomaly_weallwalk_2753_8285_8315.out,HBOS
KDD21,250_UCR_Anomaly_weallwalk_2951_7290_7296.out,HBOS
MGAB,2.test.out,LOF
MGAB,4.test.out,LOF
MITDB,109.test.csv@1.out,NORMA
MITDB,111.test.csv@2.out,OCSVM
MITDB,119.test.csv@1.out,PCA
MITDB,122.test.csv@1.out,LOF
MITDB,215.test.csv@1.out,NORMA
MITDB,219.test.csv@2.out,AE
MITDB,221.test.csv@1.out,IFOREST
MITDB,234.test.csv@1.out,NORMA
MITDB,234.test.csv@2.out,NORMA
NAB,NAB_data_CloudWatch_11.out,POLY
NAB,NAB_data_CloudWatch_12.out,PCA
NAB,NAB_data_CloudWatch_13.out,PCA
NAB,NAB_data_CloudWatch_14.out,POLY
NAB,NAB_data_CloudWatch_3.out,LOF
NAB,NAB_data_CloudWatch_9.out,HBOS
NAB,NAB_data_KnownCause_3.out,LOF
NAB,NAB_data_KnownCause_4.out,PCA
NAB,NAB_data_KnownCause_6.out,IFOREST
NAB,NAB_data_Traffic_3.out,PCA
NAB,NAB_data_art1_2.out,PCA
NAB,NAB_data_tweets_3.out,PCA
NAB,NAB_data_tweets_7.out,PCA
NAB,NAB_data_tweets_8.out,HBOS
NAB,NAB_data_tweets_9.out,PCA
OPPORTUNITY,S1-ADL1.test.csv@78.out,HBOS
OPPORTUNITY,S1-ADL1.test.csv@79.out,NORMA
OPPORTUNITY,S1-ADL1.test.csv@95.out,PCA
OPPORTUNITY,S1-ADL2.test.csv@103.out,PCA
OPPORTUNITY,S1-ADL2.test.csv@108.out,PCA
OPPORTUNITY,S1-ADL2.test.csv@109.out,HBOS
OPPORTUNITY,S1-ADL2.test.csv@110.out,HBOS
OPPORTUNITY,S1-ADL2.test.csv@115.out,NORMA
OPPORTUNITY,S1-ADL2.test.csv@122.out,NORMA
OPPORTUNITY,S1-ADL2.test.csv@126.out,NORMA
OPPORTUNITY,S1-ADL2.test.csv@130.out,NORMA
OPPORTUNITY,S1-ADL2.test.csv@48.out,PCA
OPPORTUNITY,S1-ADL2.test.csv@67.out,LOF
OPPORTUNITY,S1-ADL2.test.csv@76.out,PCA
OPPORTUNITY,S1-ADL2.test.csv@78.out,HBOS
OPPORTUNITY,S1-ADL2.test.csv@81.out,NORMA
OPPORTUNITY,S1-ADL2.test.csv@85.out,MP
OPPORTUNITY,S1-ADL2.test.csv@89.out,LOF
OPPORTUNITY,S1-ADL3.test.csv@104.out,PCA
OPPORTUNITY,S1-ADL3.test.csv@108.out,IFOREST
OPPORTUNITY,S1-ADL3.test.csv@110.out,HBOS
OPPORTUNITY,S1-ADL3.test.csv@111.out,NORMA
OPPORTUNITY,S1-ADL3.test.csv@112.out,NORMA
OPPORTUNITY,S1-ADL3.test.csv@114.out,NORMA
OPPORTUNITY,S1-ADL3.test.csv@122.out,NORMA
OPPORTUNITY,S1-ADL3.test.csv@126.out,NORMA
OPPORTUNITY,S1-ADL3.test.csv@127.out,NORMA
OPPORTUNITY,S1-ADL3.test.csv@42.out,NORMA
OPPORTUNITY,S1-ADL3.test.csv@47.out,MP
OPPORTUNITY,S1-ADL3.test.csv@81.out,NORMA
OPPORTUNITY,S1-ADL3.test.csv@89.out,NORMA
OPPORTUNITY,S1-ADL4.test.csv@103.out,HBOS
OPPORTUNITY,S1-ADL4.test.csv@104.out,PCA
OPPORTUNITY,S1-ADL4.test.csv@114.out,NORMA
OPPORTUNITY,S1-ADL4.test.csv@133.out,PCA
OPPORTUNITY,S1-ADL4.test.csv@17.out,NORMA
OPPORTUNITY,S1-ADL4.test.csv@52.out,PCA
OPPORTUNITY,S1-ADL4.test.csv@68.out,NORMA
OPPORTUNITY,S1-ADL4.test.csv@90.out,LOF
OPPORTUNITY,S1-ADL4.test.csv@95.out,MP
OPPORTUNITY,S1-ADL5.test.csv@103.out,PCA
OPPORTUNITY,S1-ADL5.test.csv@119.out,MP
OPPORTUNITY,S1-ADL5.test.csv@120.out,HBOS
OPPORTUNITY,S1-ADL5.test.csv@124.out,IFOREST
OPPORTUNITY,S1-ADL5.test.csv@128.out,NORMA
OPPORTUNITY,S1-ADL5.test.csv@129.out,NORMA
OPPORTUNITY,S1-ADL5.test.csv@130.out,NORMA
OPPORTUNITY,S1-ADL5.test.csv@131.out,NORMA
OPPORTUNITY,S1-ADL5.test.csv@42.out,NORMA
OPPORTUNITY,S1-ADL5.test.csv@45.out,NORMA
OPPORTUNITY,S1-ADL5.test.csv@49.out,MP
OPPORTUNITY,S1-ADL5.test.csv@53.out,NORMA
OPPORTUNITY,S1-ADL5.test.csv@89.out,NORMA
OPPORTUNITY,S2-ADL1.test.csv@102.out,PCA
OPPORTUNITY,S2-ADL1.test.csv@110.out,HBOS
OPPORTUNITY,S2-ADL1.test.csv@124.out,IFOREST
OPPORTUNITY,S2-ADL2.test.csv@103.out,PCA
OPPORTUNITY,S2-ADL2.test.csv@104.out,PCA
OPPORTUNITY,S2-ADL2.test.csv@108.out,HBOS
OPPORTUNITY,S2-ADL2.test.csv@109.out,HBOS
OPPORTUNITY,S2-ADL2.test.csv@119.out,PCA
OPPORTUNITY,S2-ADL2.test.csv@125.out,HBOS
OPPORTUNITY,S2-ADL2.test.csv@38.out,PCA
OPPORTUNITY,S2-ADL2.test.csv@54.out,NORMA
OPPORTUNITY,S2-ADL2.test.csv@55.out,NORMA
OPPORTUNITY,S2-ADL2.test.csv@65.out,NORMA
OPPORTUNITY,S2-ADL2.test.csv@68.out,NORMA
OPPORTUNITY,S2-ADL2.test.csv@79.out,NORMA
OPPORTUNITY,S2-ADL2.test.csv@94.out,NORMA
OPPORTUNITY,S2-ADL2.test.csv@96.out,MP
OPPORTUNITY,S2-ADL2.test.csv@98.out,LOF
OPPORTUNITY,S2-ADL3.test.csv@38.out,PCA
OPPORTUNITY,S2-ADL3.test.csv@52.out,PCA
OPPORTUNITY,S2-ADL3.test.csv@53.out,LOF
OPPORTUNITY,S2-ADL3.test.csv@54.out,NORMA
OPPORTUNITY,S2-ADL3.test.csv@55.out,NORMA
OPPORTUNITY,S2-ADL3.test.csv@76.out,HBOS
OPPORTUNITY,S2-ADL3.test.csv@77.out,NORMA
OPPORTUNITY,S2-ADL3.test.csv@91.out,MP
OPPORTUNITY,S2-ADL3.test.csv@93.out,NORMA
OPPORTUNITY,S2-ADL3.test.csv@94.out,NORMA
OPPORTUNITY,S2-ADL4.test.csv@54.out,LOF
OPPORTUNITY,S2-ADL4.test.csv@78.out,PCA
OPPORTUNITY,S2-ADL4.test.csv@89.out,LOF
OPPORTUNITY,S2-ADL4.test.csv@94.out,NORMA
OPPORTUNITY,S2-ADL4.test.csv@96.out,MP
OPPORTUNITY,S2-ADL5.test.csv@53.out,NORMA
OPPORTUNITY,S2-ADL5.test.csv@81.out,NORMA
OPPORTUNITY,S2-ADL5.test.csv@90.out,NORMA
OPPORTUNITY,S2-ADL5.test.csv@91.out,MP
OPPORTUNITY,S2-ADL5.test.csv@98.out,MP
OPPORTUNITY,S3-ADL1.test.csv@53.out,LOF
OPPORTUNITY,S3-ADL1.test.csv@61.out,LOF
OPPORTUNITY,S3-ADL1.test.csv@63.out,PCA
OPPORTUNITY,S3-ADL1.test.csv@67.out,NORMA
OPPORTUNITY,S3-ADL2.test.csv@25.out,PCA
OPPORTUNITY,S3-ADL2.test.csv@27.out,MP
OPPORTUNITY,S3-ADL2.test.csv@53.out,LOF
OPPORTUNITY,S3-ADL2.test.csv@54.out,NORMA
OPPORTUNITY,S3-ADL3.test.csv@109.out,HBOS
OPPORTUNITY,S3-ADL3.test.csv@42.out,NORMA
OPPORTUNITY,S3-ADL3.test.csv@50.out,NORMA
OPPORTUNITY,S3-ADL3.test.csv@54.out,NORMA
OPPORTUNITY,S3-ADL3.test.csv@55.out,NORMA
OPPORTUNITY,S3-ADL3.test.csv@66.out,NORMA
OPPORTUNITY,S3-ADL4.test.csv@124.out,NORMA
OPPORTUNITY,S3-ADL4.test.csv@132.out,NORMA
OPPORTUNITY,S3-ADL4.test.csv@40.out,MP
OPPORTUNITY,S3-ADL4.test.csv@52.out,NORMA
OPPORTUNITY,S3-ADL4.test.csv@63.out,PCA
OPPORTUNITY,S3-ADL5.test.csv@108.out,NORMA
OPPORTUNITY,S3-ADL5.test.csv@66.out,LOF
OPPORTUNITY,S3-ADL5.test.csv@67.out,NORMA
OPPORTUNITY,S3-ADL5.test.csv@93.out,NORMA
OPPORTUNITY,S4-ADL2.test.csv@120.out,MP
OPPORTUNITY,S4-ADL2.test.csv@125.out,HBOS
OPPORTUNITY,S4-ADL2.test.csv@127.out,NORMA
OPPORTUNITY,S4-ADL2.test.csv@128.out,NORMA
OPPORTUNITY,S4-ADL2.test.csv@131.out,NORMA
OPPORTUNITY,S4-ADL2.test.csv@31.out,HBOS
OPPORTUNITY,S4-ADL2.test.csv@32.out,HBOS
OPPORTUNITY,S4-ADL2.test.csv@81.out,NORMA
OPPORTUNITY,S4-ADL3.test.csv@120.out,PCA
OPPORTUNITY,S4-ADL3.test.csv@42.out,NORMA
OPPORTUNITY,S4-ADL3.test.csv@53.out,LOF
OPPORTUNITY,S4-ADL4.test.csv@108.out,HBOS
OPPORTUNITY,S4-ADL4.test.csv@118.out,MP
OPPORTUNITY,S4-ADL4.test.csv@42.out,NORMA
OPPORTUNITY,S4-ADL5.test.csv@120.out,HBOS
OPPORTUNITY,S4-ADL5.test.csv@127.out,NORMA
OPPORTUNITY,S4-ADL5.test.csv@129.out,NORMA
OPPORTUNITY,S4-ADL5.test.csv@16.out,PCA
OPPORTUNITY,S4-ADL5.test.csv@17.out,NORMA
OPPORTUNITY,S4-ADL5.test.csv@31.out,HBOS
OPPORTUNITY,S4-ADL5.test.csv@38.out,PCA
OPPORTUNITY,S4-ADL5.test.csv@54.out,LOF
OPPORTUNITY,S4-ADL5.test.csv@55.out,NORMA
OPPORTUNITY,S4-ADL5.test.csv@81.out,LOF
OPPORTUNITY,S4-ADL5.test.csv@89.out,LOF
SMD,machine-1-1.test.csv@1.out,PCA
SMD,machine-1-1.test.csv@14.out,LOF
SMD,machine-1-1.test.csv@28.out,PCA
SMD,machine-1-5.test.csv@16.out,HBOS
SMD,machine-1-5.test.csv@21.out,POLY
SMD,machine-1-5.test.csv@28.out,CNN
SMD,machine-1-5.test.csv@32.out,PCA
SMD,machine-1-6.test.csv@10.out,IFOREST
SMD,machine-1-6.test.csv@11.out,IFOREST
SMD,machine-1-6.test.csv@16.out,POLY
SMD,machine-1-6.test.csv@24.out,PCA
SMD,machine-1-6.test.csv@3.out,IFOREST
SMD,machine-1-6.test.csv@4.out,HBOS
SMD,machine-1-6.test.csv@9.out,IFOREST
SMD,machine-1-7.test.csv@33.out,PCA
SMD,machine-2-1.test.csv@21.out,POLY
SMD,machine-2-2.test.csv@11.out,PCA
SMD,machine-2-3.test.csv@1.out,POLY
SMD,machine-2-3.test.csv@2.out,PCA
SMD,machine-2-3.test.csv@20.out,HBOS
SMD,machine-2-3.test.csv@25.out,POLY
SMD,machine-2-3.test.csv@3.out,IFOREST
SMD,machine-2-3.test.csv@6.out,POLY
SMD,machine-2-4.test.csv@10.out,POLY
SMD,machine-2-4.test.csv@13.out,OCSVM
SMD,machine-2-4.test.csv@20.out,PCA
SMD,machine-2-4.test.csv@28.out,PCA
SMD,machine-2-4.test.csv@9.out,IFOREST
SMD,machine-2-5.test.csv@1.out,IFOREST
SMD,machine-2-6.test.csv@1.out,POLY
SMD,machine-2-6.test.csv@16.out,IFOREST
SMD,machine-2-7.test.csv@19.out,HBOS
SMD,machine-2-7.test.csv@20.out,HBOS
SMD,machine-2-7.test.csv@21.out,HBOS
SMD,machine-2-7.test.csv@24.out,LOF
SMD,machine-2-7.test.csv@32.out,PCA
SMD,machine-2-7.test.csv@6.out,HBOS
SMD,machine-2-8.test.csv@11.out,IFOREST
SMD,machine-2-8.test.csv@14.out,POLY
SMD,machine-2-8.test.csv@2.out,HBOS
SMD,machine-2-8.test.csv@20.out,POLY
SMD,machine-2-8.test.csv@22.out,NORMA
SMD,machine-2-8.test.csv@3.out,HBOS
SMD,machine-2-8.test.csv@32.out,IFOREST
SMD,machine-2-8.test.csv@35.out,LOF
SMD,machine-2-8.test.csv@7.out,HBOS
SMD,machine-2-8.test.csv@9.out,HBOS
SMD,machine-2-9.test.csv@24.out,IFOREST1
SMD,machine-3-1.test.csv@36.out,HBOS
SMD,machine-3-10.test.csv@11.out,HBOS
SMD,machine-3-10.test.csv@14.out,IFOREST
SMD,machine-3-10.test.csv@25.out,HBOS
SMD,machine-3-10.test.csv@4.out,HBOS
SMD,machine-3-10.test.csv@7.out,IFOREST1
SMD,machine-3-11.test.csv@1.out,POLY
SMD,machine-3-11.test.csv@12.out,HBOS
SMD,machine-3-11.test.csv@24.out,HBOS
SMD,machine-3-11.test.csv@31.out,POLY
SMD,machine-3-11.test.csv@35.out,POLY
SMD,machine-3-11.test.csv@36.out,POLY
SMD,machine-3-11.test.csv@37.out,NORMA
SMD,machine-3-11.test.csv@5.out,IFOREST
SMD,machine-3-11.test.csv@7.out,POLY
SMD,machine-3-2.test.csv@11.out,IFOREST
SMD,machine-3-3.test.csv@1.out,POLY
SMD,machine-3-3.test.csv@22.out,LOF
SMD,machine-3-3.test.csv@31.out,LOF
SMD,machine-3-3.test.csv@38.out,NORMA
SMD,machine-3-5.test.csv@23.out,LOF
SMD,machine-3-5.test.csv@7.out,POLY
SMD,machine-3-6.test.csv@14.out,POLY
SMD,machine-3-6.test.csv@24.out,HBOS
SMD,machine-3-6.test.csv@31.out,IFOREST
SMD,machine-3-6.test.csv@6.out,MP
SMD,machine-3-6.test.csv@7.out,PCA
SMD,machine-3-6.test.csv@9.out,POLY
SMD,machine-3-7.test.csv@11.out,IFOREST
SMD,machine-3-8.test.csv@1.out,IFOREST
SMD,machine-3-8.test.csv@20.out,IFOREST
SMD,machine-3-8.test.csv@3.out,HBOS
SMD,machine-3-8.test.csv@31.out,IFOREST
SMD,machine-3-8.test.csv@36.out,NORMA
SMD,machine-3-9.test.csv@31.out,POLY
SVDB,801.test.csv@1.out,PCA
SVDB,805.test.csv@2.out,NORMA
SVDB,806.test.csv@2.out,NORMA
SVDB,808.test.csv@2.out,NORMA
SVDB,809.test.csv@1.out,NORMA
SVDB,812.test.csv@1.out,NORMA
SVDB,812.test.csv@2.out,NORMA
SVDB,820.test.csv@1.out,NORMA
SVDB,826.test.csv@2.out,NORMA
SVDB,827.test.csv@2.out,NORMA
SVDB,828.test.csv@2.out,NORMA
SVDB,840.test.csv@1.out,NORMA
SVDB,841.test.csv@1.out,PCA
SVDB,844.test.csv@2.out,NORMA
SVDB,845.test.csv@2.out,NORMA
SVDB,847.test.csv@1.out,NORMA
SVDB,847.test.csv@2.out,NORMA
SVDB,850.test.csv@1.out,LOF
SVDB,850.test.csv@2.out,LOF
SVDB,852.test.csv@2.out,NORMA
SVDB,853.test.csv@2.out,NORMA
SVDB,857.test.csv@1.out,PCA
SVDB,857.test.csv@2.out,NORMA
SVDB,858.test.csv@2.out,NORMA
SVDB,862.test.csv@2.out,NORMA
SVDB,863.test.csv@1.out,NORMA
SVDB,863.test.csv@2.out,NORMA
SVDB,864.test.csv@1.out,PCA
SVDB,870.test.csv@2.out,PCA
SVDB,873.test.csv@1.out,NORMA
SVDB,882.test.csv@1.out,NORMA
SVDB,883.test.csv@1.out,NORMA
SVDB,884.test.csv@1.out,PCA
SVDB,890.test.csv@1.out,NORMA
SensorScope,stb-10.test.out,HBOS
